,"SPDR S&P 500 ETF Trust - GJR-GARCH Volatility"
2011-05-24,0.13905913950546364
2011-05-25,0.13339748603328325
2011-05-26,0.12817553838388976
2011-05-27,0.12334068671772506
2011-05-31,0.1190464579901477
2011-06-01,0.19272528635339992
2011-06-02,0.18346288998050805
2011-06-03,0.18745199385442665
2011-06-06,0.1925452819468709
2011-06-07,0.1832000054585152
2011-06-08,0.17674901187842607
2011-06-09,0.16848544862984458
2011-06-10,0.18688604442279794
2011-06-13,0.17786902597135903
2011-06-14,0.16965579035211267
2011-06-15,0.20278619775517268
2011-06-16,0.192724371058774
2011-06-17,0.1833288487936364
2011-06-20,0.1745807618267259
2011-06-21,0.16662751873565182
2011-06-22,0.1642266750561552
2011-06-23,0.15797225996990735
2011-06-24,0.1706084253488086
2011-06-27,0.16279305882008607
2011-06-28,0.15564376556740075
2011-06-29,0.14887048814321796
2011-06-30,0.1426107068911728
2011-07-01,0.1370034408327032
2011-07-05,0.131593255146303
2011-07-06,0.1264750345325116
2011-07-07,0.12193091584991889
2011-07-08,0.12714697951583437
2011-07-11,0.1743974185588766
2011-07-12,0.16880342887512684
2011-07-13,0.1610241720984772
2011-07-14,0.16083383599230605
2011-07-15,0.15363835536740167
2011-07-18,0.15724218899519302
2011-07-19,0.1506177204713974
2011-07-20,0.1441576986497773
2011-07-21,0.13839517592748674
2011-07-22,0.13276576109825905
2011-07-25,0.1331229074201732
2011-07-26,0.13039841011300712
2011-07-27,0.18858621370609252
2011-07-28,0.1805443169972403
2011-07-29,0.17818581761745236
2011-08-01,0.17221163375335596
2011-08-02,0.24085536572806515
2011-08-03,0.22837409310164758
2011-08-04,0.3919919070593167
2011-08-05,0.37041050903018397
2011-08-08,0.5768572059010791
2011-08-09,0.5450398480845231
2011-08-10,0.5992877973061024
2011-08-11,0.5660772491453795
2011-08-12,0.5341046526664976
2011-08-15,0.50417247049001
2011-08-16,0.4793753911080543
2011-08-17,0.45247683167207575
2011-08-18,0.5220792353656675
2011-08-19,0.5052546882513808
2011-08-22,0.4768326423390077
2011-08-23,0.4505771778508095
2011-08-24,0.4254758141187346
2011-08-25,0.41515744290570056
2011-08-26,0.39217023089469705
2011-08-29,0.3708975745404653
