,"美国iShares安硕MSCI英国指数ETF - 指数GARCH模型波动率预测"
1997-11-21,0.2787655789368551
1997-11-24,0.30363074547878055
1997-11-25,0.2844795078735901
1997-11-26,0.27155543964354684
1997-11-28,0.2746605038952634
1997-12-01,0.27081835979120766
1997-12-02,0.25674448699047075
1997-12-03,0.29966567971658015
1997-12-04,0.29557677175312674
1997-12-05,0.27708506708229513
1997-12-08,0.26825320948685777
1997-12-09,0.27073292522336473
1997-12-10,0.2946861564444451
1997-12-11,0.27629246895273857
1997-12-12,0.27065547103282434
1997-12-15,0.2667399655094827
1997-12-16,0.259058982473104
1997-12-17,0.25417015560446904
1997-12-18,0.272084943354093
1997-12-19,0.29762746445850724
1997-12-22,0.2812973096209774
1997-12-23,0.26848627004001524
1997-12-24,0.2858207676149513
1997-12-26,0.26625155999542993
1997-12-29,0.26501576858745596
1997-12-30,0.24722475604194658
1997-12-31,0.27371159566229564
1998-01-02,0.26936294177187775
1998-01-05,0.2534237281708246
1998-01-06,0.23661128375460036
1998-01-07,0.2286314938935579
1998-01-08,0.2269487845307835
1998-01-09,0.31069413061723583
1998-01-12,0.2909711119681815
1998-01-13,0.277263310951882
1998-01-14,0.2667294314469253
1998-01-15,0.2553226946434649
1998-01-16,0.25693301695188964
1998-01-20,0.23982530642115316
1998-01-21,0.2518485044625042
1998-01-22,0.2390405722884716
1998-01-23,0.22948763103923486
1998-01-26,0.21466625724598637
1998-01-27,0.2109691636235021
1998-01-28,0.19765859657500354
1998-01-29,0.1915534181370826
1998-01-30,0.1838395496078034
1998-02-02,0.18866657255592473
1998-02-03,0.1945905825059373
1998-02-04,0.20201937629841354
1998-02-05,0.19510848674519515
1998-02-06,0.19611019045424438
1998-02-09,0.2403818811807579
1998-02-10,0.23224410433851705
1998-02-11,0.2171955828280124
1998-02-12,0.22957288254495564
1998-02-13,0.22450039732704263
1998-02-17,0.21943962176416545
1998-02-18,0.2089404269163821
1998-02-19,0.21384305553372548
1998-02-20,0.20207119933330428
1998-02-23,0.19505978775749758
1998-02-24,0.21650739571663596
1998-02-25,0.21410468467551103
1998-02-26,0.20399761763314786
1998-02-27,0.20908962671543513
1998-03-02,0.20323642094860853
1998-03-03,0.19958347727204273
1998-03-04,0.21868360432368952
1998-03-05,0.2441958058607887
1998-03-06,0.2429630638595093
1998-03-09,0.23273593190566857
1998-03-10,0.2265648225122338
1998-03-11,0.23028111776695892
1998-03-12,0.22078284715982807
1998-03-13,0.20667499703640982
1998-03-16,0.2008353624240512
1998-03-17,0.18997946204787503
1998-03-18,0.19640333500223464
1998-03-19,0.18968721728150267
1998-03-20,0.19006937470302784
1998-03-23,0.18378450533165194
1998-03-24,0.1812134696980332
1998-03-25,0.19410933826068236
1998-03-26,0.19315512522322573
1998-03-27,0.18815966517827354
1998-03-30,0.1766707208339854
1998-03-31,0.16771475784796042
1998-04-01,0.16464275507898915
1998-04-02,0.16675556602404612
1998-04-03,0.1569321523461652
1998-04-06,0.15134346527022566
1998-04-07,0.180691372234537
1998-04-08,0.17667393016514915
1998-04-09,0.16608437855499836
1998-04-13,0.1614407792349876
1998-04-14,0.16405165284141454
1998-04-15,0.17176650313725314
1998-04-16,0.20481474360992669
1998-04-17,0.20866936430631114
1998-04-20,0.25414913574513687
1998-04-21,0.24424223959012498
1998-04-22,0.22819841103741278
1998-04-23,0.23741312347888438
1998-04-24,0.23895031450073465
1998-04-27,0.2680803961501102
1998-04-28,0.2626805139328002
1998-04-29,0.25377326100280934
1998-04-30,0.2454983274892112
1998-05-01,0.23617858920740467
1998-05-04,0.22752489709919663
1998-05-05,0.2834783991770802
1998-05-06,0.2660125628612303
1998-05-07,0.2544711834373393
1998-05-08,0.23947719807948314
1998-05-11,0.24163264183466607
1998-05-12,0.22746186757344625
1998-05-13,0.2183219283535211
1998-05-14,0.2044147254969661
1998-05-15,0.22209650605086068
1998-05-18,0.27565281859614643
1998-05-19,0.27322951890306435
1998-05-20,0.2583784758837315
1998-05-21,0.24282206818985788
1998-05-22,0.23216124482781358
1998-05-26,0.23498883377726695
1998-05-27,0.2197135116464165
1998-05-28,0.22393023288515554
1998-05-29,0.2268520495829826
1998-06-01,0.21224727560088963
1998-06-02,0.20394171226112623
1998-06-03,0.193160408986935
1998-06-04,0.1937080277118117
1998-06-05,0.19800449994886482
1998-06-08,0.1893179991442969
1998-06-09,0.17773764260842442
1998-06-10,0.2192897070087878
1998-06-11,0.2235989096574489
1998-06-12,0.3198529768503023
1998-06-15,0.3067049409448762
1998-06-16,0.2998756722376792
1998-06-17,0.29673260083785874
1998-06-18,0.28169093915140403
1998-06-19,0.26784552413658136
1998-06-22,0.26772638719409037
1998-06-23,0.2513771302246885
1998-06-24,0.23473652549187995
1998-06-25,0.2211159397239376
1998-06-26,0.21242363427829777
1998-06-29,0.1989953617549917
1998-06-30,0.19365507274533245
1998-07-01,0.18866256544423432
1998-07-02,0.1840275903227557
1998-07-06,0.1966717630978072
1998-07-07,0.19550679374384922
1998-07-08,0.1850848486505581
1998-07-09,0.20420455039004395
1998-07-10,0.21579395172247068
1998-07-13,0.20713586845353463
1998-07-14,0.20655217645912136
1998-07-15,0.2074596548729415
1998-07-16,0.2117230908521789
1998-07-17,0.19835151524503158
1998-07-20,0.19115188306684297
1998-07-21,0.19680824068112596
1998-07-22,0.20134446304778286
1998-07-23,0.20644631166480065
1998-07-24,0.21141090038122443
1998-07-27,0.2220656983867612
1998-07-28,0.2526787858131347
1998-07-29,0.24303016109116993
1998-07-30,0.23782847348456831
1998-07-31,0.2798980514401628
1998-08-03,0.2732089508050569
1998-08-04,0.32063491949567813
1998-08-05,0.30532497899778854
1998-08-06,0.2840649482072718
1998-08-07,0.2681287086456801
1998-08-10,0.28133712730459165
1998-08-11,0.3389314497062791
1998-08-12,0.3204466314380603
1998-08-13,0.33792084694496133
1998-08-14,0.3177443255197487
1998-08-17,0.29717456082242305
1998-08-18,0.29591994525546944
1998-08-19,0.29200556364562646
1998-08-20,0.296367156075028
1998-08-21,0.3281526876318401
1998-08-24,0.30843445721903384
1998-08-25,0.30374558959761044
1998-08-26,0.3152677262264566
1998-08-27,0.3940919395268064
1998-08-28,0.3707491227231698
1998-08-31,0.48348750180330413
1998-09-01,0.4785110443866474
1998-09-02,0.4475396259550656
1998-09-03,0.4752301657092067
1998-09-04,0.43844928053310794
1998-09-08,0.4411037592222492
1998-09-09,0.4394944013295277
1998-09-10,0.46006914697684304
1998-09-11,0.43095505705351694
1998-09-14,0.4099748631318754
1998-09-15,0.38886297638114126
1998-09-16,0.3622351214335794
1998-09-17,0.39025003677129877
1998-09-18,0.36139254170499974
1998-09-21,0.3618627060087845
1998-09-22,0.33747490040001493
1998-09-23,0.3311516703868486
1998-09-24,0.362850450185748
1998-09-25,0.36338142440141324
1998-09-28,0.3388700299524878
1998-09-29,0.31684913255364927
1998-09-30,0.3018954958259563
1998-10-01,0.38210256999920844
1998-10-02,0.3753496753695146
1998-10-05,0.4164305219361328
1998-10-06,0.4045872074102195
1998-10-07,0.3810861682087137
1998-10-08,0.37475413059764934
1998-10-09,0.3602472550901672
1998-10-12,0.3508388707084778
1998-10-13,0.3274907125400658
1998-10-14,0.30846215327005677
1998-10-15,0.3153842855945743
1998-10-16,0.34876058951664823
1998-10-19,0.3438995510319838
1998-10-20,0.34554216703609414
1998-10-21,0.3612394513338763
1998-10-22,0.3474861965603814
1998-10-23,0.32623716526478097
1998-10-26,0.3049973455622196
1998-10-27,0.28963625808934906
1998-10-28,0.2896094155927946
1998-10-29,0.2774700048653908
1998-10-30,0.26628127759945874
1998-11-02,0.2658218456034041
1998-11-03,0.26079188254238284
1998-11-04,0.2471839800634337
1998-11-05,0.2500096902121996
1998-11-06,0.23941389433364138
1998-11-09,0.2431823834080092
1998-11-10,0.2329424332319039
1998-11-11,0.2309160938522909
1998-11-12,0.2198653724441391
1998-11-13,0.23195312457477266
1998-11-16,0.23225430372761666
1998-11-17,0.22402215515435075
1998-11-18,0.21556348392063068
1998-11-19,0.21115703256107765
1998-11-20,0.20339153964705609
1998-11-23,0.21496358017115366
1998-11-24,0.2531105529210507
1998-11-25,0.23829048155560054
1998-11-27,0.23157697035758976
1998-11-30,0.29126196456111464
1998-12-01,0.30882042549028393
1998-12-02,0.2940095998432704
1998-12-03,0.285605735236532
1998-12-04,0.27166914068403136
1998-12-07,0.26612957896483436
1998-12-08,0.2500136716261733
1998-12-09,0.24476972606921799
1998-12-10,0.24749727271224628
1998-12-11,0.237019214410984
