,"美国iShares安硕MSCI德国指数ETF - 指数GARCH模型波动率预测"
2011-06-13,0.28220178312689664
2011-06-14,0.2771128954054647
2011-06-15,0.3266400936811034
2011-06-16,0.3080098407518825
2011-06-17,0.2977676866283513
2011-06-20,0.2805171074997031
2011-06-21,0.2784102670520611
2011-06-22,0.2783073789894907
2011-06-23,0.2826847388876874
2011-06-24,0.2992938809932472
2011-06-27,0.28628463528453635
2011-06-28,0.2763628723254989
2011-06-29,0.2686800669941855
2011-06-30,0.2623809810180608
2011-07-01,0.2516354863686757
2011-07-05,0.24909207213398024
2011-07-06,0.2441108608808711
2011-07-07,0.2352937313232123
2011-07-08,0.2515158348891775
2011-07-11,0.3362152185728659
2011-07-12,0.33223994883216557
2011-07-13,0.32242204080986775
2011-07-14,0.31469108852968813
2011-07-15,0.2987863249882765
2011-07-18,0.3078860289132977
2011-07-19,0.29645846386973
2011-07-20,0.2807214954363132
2011-07-21,0.2759433789747455
2011-07-22,0.2606985707670834
2011-07-25,0.2466774403953471
2011-07-26,0.23639050488545432
2011-07-27,0.2829722198379198
2011-07-28,0.2909809416439503
2011-07-29,0.2750271201172713
2011-08-01,0.3148162263924781
2011-08-02,0.38223191075576096
2011-08-03,0.3608727121853355
2011-08-04,0.5205795501169826
2011-08-05,0.493969359778519
2011-08-08,0.6892567997488309
2011-08-09,0.6680080807894467
2011-08-10,0.7570371219431714
2011-08-11,0.72308078386858
2011-08-12,0.6795312972924793
2011-08-15,0.6404489487851471
2011-08-16,0.6341034363571925
2011-08-17,0.592866220997621
2011-08-18,0.6662311760943044
2011-08-19,0.6636017088585592
2011-08-22,0.6114313534649659
2011-08-23,0.5867266211788928
2011-08-24,0.5502540431473448
2011-08-25,0.5712961683750383
2011-08-26,0.5367208436422047
2011-08-29,0.5122509619317469
2011-08-30,0.4915289574379113
2011-08-31,0.46220460923707807
2011-09-01,0.4751807155177912
2011-09-02,0.5009437082148053
2011-09-06,0.5684592333668264
2011-09-07,0.5480819537259004
2011-09-08,0.5695259291726761
2011-09-09,0.628965150067951
2011-09-12,0.5840052157301338
2011-09-13,0.5464555791644916
2011-09-14,0.5296821613005294
2011-09-15,0.5117250472665961
2011-09-16,0.47491998947191094
2011-09-19,0.5080529539329538
2011-09-20,0.47667486277335835
2011-09-21,0.5137940871594379
2011-09-22,0.554599055174096
2011-09-23,0.5202870861361062
2011-09-26,0.5021751965200989
2011-09-27,0.48598247005421913
2011-09-28,0.4870042365318807
2011-09-29,0.4697729302546072
2011-09-30,0.5403695069117057
2011-10-03,0.5863893655243075
2011-10-04,0.5529503775204426
2011-10-05,0.5304259609031217
2011-10-06,0.5131280892720647
2011-10-07,0.49094838221548304
2011-10-10,0.4888319821779259
2011-10-11,0.454543102906644
2011-10-12,0.43758938286937443
2011-10-13,0.41424551850321806
2011-10-14,0.3933122927140722
2011-10-17,0.4380911494198439
2011-10-18,0.4212084614534708
2011-10-19,0.4331433868824503
2011-10-20,0.4122277152254564
2011-10-21,0.40754598415393567
2011-10-24,0.38822227911339663
2011-10-25,0.38289461056536167
2011-10-26,0.3632039526216641
2011-10-27,0.38258825334816543
2011-10-28,0.3689328182745471
2011-10-31,0.47832352607832285
2011-11-01,0.5489764257233638
2011-11-02,0.5207196712243547
2011-11-03,0.5058824843775479
2011-11-04,0.5226988769836798
2011-11-07,0.4864246848177013
2011-11-08,0.4616697455974347
2011-11-09,0.5852431802251096
2011-11-10,0.5558893630930529
2011-11-11,0.5370967957454225
2011-11-14,0.5472988397575862
2011-11-15,0.5184014930534054
2011-11-16,0.5226841723258894
2011-11-17,0.4990984908813089
2011-11-18,0.4644964822256462
2011-11-21,0.48448906984574996
2011-11-22,0.47076815950104356
2011-11-23,0.49460358308447383
2011-11-25,0.47204343274745386
2011-11-28,0.4706859577255307
2011-11-29,0.44111187152467346
2011-11-30,0.44847254765481465
2011-12-01,0.4330159262659978
2011-12-02,0.41184718088145267
2011-12-05,0.38673103211405213
2011-12-06,0.36703255986356303
2011-12-07,0.3427274631540344
2011-12-08,0.4073885874690159
2011-12-09,0.3978603936055963
2011-12-12,0.46627923650962627
2011-12-13,0.47595933649840305
2011-12-14,0.46061320041874615
2011-12-15,0.43239877844415797
2011-12-16,0.41415225026552743
2011-12-19,0.40752650613180985
2011-12-20,0.4077172270091123
2011-12-21,0.39417000799147567
2011-12-22,0.37084749695798136
2011-12-23,0.3477457605780407
2011-12-27,0.3248424713611199
2011-12-28,0.3543534015640318
2011-12-29,0.34036603355799183
2011-12-30,0.32083381866629956
2012-01-03,0.32570745646975907
2012-01-04,0.3215358350168765
2012-01-05,0.32178625949533646
2012-01-06,0.334997291332333
2012-01-09,0.31524450510675045
2012-01-10,0.30521650872782097
2012-01-11,0.28679823639625124
2012-01-12,0.27866702711300456
2012-01-13,0.3085502085560793
2012-01-17,0.3061406147508037
2012-01-18,0.3002016762111764
2012-01-19,0.2882407618641056
2012-01-20,0.27083482937022707
2012-01-23,0.2590088809288207
2012-01-24,0.24742583616106056
2012-01-25,0.23995231026185185
2012-01-26,0.22994984931501916
2012-01-27,0.2212576696975723
2012-01-30,0.23922899155411745
2012-01-31,0.22520668107318667
2012-02-01,0.22632745215726705
2012-02-02,0.21783804626373238
2012-02-03,0.21585992124523717
2012-02-06,0.2106438330452615
2012-02-07,0.20301248927098056
2012-02-08,0.19458229415853848
2012-02-09,0.18656059069374753
2012-02-10,0.23071537009917656
2012-02-13,0.22337045910325742
2012-02-14,0.22594371688542259
2012-02-15,0.22160812981477013
2012-02-16,0.21794895732716868
2012-02-17,0.2123444334094963
2012-02-21,0.20472262893974374
2012-02-22,0.2042297852909805
2012-02-23,0.19750305820417058
2012-02-24,0.19303747511817493
2012-02-27,0.19497902656439742
2012-02-28,0.19095726537631397
2012-02-29,0.20928797289858775
2012-03-01,0.2041588234683968
2012-03-02,0.21355756600972955
2012-03-05,0.2099983799937514
2012-03-06,0.3051513998001648
2012-03-07,0.29321307542468156
2012-03-08,0.2960506341827357
2012-03-09,0.28738769911045253
2012-03-12,0.27228529523277606
2012-03-13,0.2624538199379083
2012-03-14,0.24656918055588375
2012-03-15,0.2407348574677128
2012-03-16,0.23003038321056632
2012-03-19,0.21843461264186131
2012-03-20,0.23120282005200543
2012-03-21,0.22140073170610797
2012-03-22,0.23528778718837068
2012-03-23,0.22761331946966545
2012-03-26,0.22710401845850287
2012-03-27,0.23005316863716527
2012-03-28,0.2386564769705612
2012-03-29,0.24854765176923319
2012-03-30,0.2403474410098847
2012-04-02,0.23471940183972861
2012-04-03,0.26100645509258963
2012-04-04,0.3075551014046101
2012-04-05,0.31070556673481087
