,"iShares Russell 2000 ETF - EGARCH Volatility"
2021-01-08,0.1646276781103348
2021-01-11,0.1590361091073345
2021-01-12,0.15520947239134603
2021-01-13,0.16199684441371073
2021-01-14,0.1583131887114905
2021-01-15,0.18076387913518563
2021-01-19,0.17464931262389782
2021-01-20,0.16757105239270892
2021-01-21,0.17647262790585966
2021-01-22,0.17045429768709267
2021-01-25,0.1646786434240943
2021-01-26,0.17039211953608654
2021-01-27,0.19921122257543628
2021-01-28,0.19548049723693667
2021-01-29,0.21527020880744274
2021-02-01,0.20865438888266888
2021-02-02,0.20083435861425705
2021-02-03,0.19173277654068435
2021-02-04,0.18610320040235742
2021-02-05,0.17979567403027247
2021-02-08,0.1758280011829743
2021-02-09,0.16872070412370854
2021-02-10,0.17344285629566872
2021-02-11,0.16776658785348172
2021-02-12,0.16088733449218431
2021-02-16,0.16562392218517227
2021-02-17,0.17301815396079107
2021-02-18,0.19543949856669202
2021-02-19,0.18962722589333003
2021-02-22,0.19268958664131283
2021-02-23,0.19998572449052457
2021-02-24,0.1943063107570107
2021-02-25,0.2652818357897879
2021-02-26,0.2534042375336293
2021-03-01,0.2457423553236194
2021-03-02,0.2696937329638937
2021-03-03,0.27488767378694884
2021-03-04,0.31463643018569865
2021-03-05,0.2999110068003507
2021-03-08,0.28370414871834354
2021-03-09,0.27138867551907914
2021-03-10,0.25943482418518915
2021-03-11,0.2491380990535169
2021-03-12,0.23701310090372643
2021-03-15,0.2254048757236631
2021-03-16,0.2459321467397054
2021-03-17,0.23436241934235105
2021-03-18,0.28399694223706
2021-03-19,0.2694871529405437
2021-03-22,0.2684919484826314
2021-03-23,0.32780205307471766
2021-03-24,0.35230661929631696
2021-03-25,0.33492077928967023
2021-03-26,0.31808830094802293
2021-03-29,0.353969774980859
2021-03-30,0.33535749820154614
2021-03-31,0.31772199923832783
2021-04-01,0.30138291457877964
2021-04-05,0.28518455077370514
2021-04-06,0.2745613046297675
2021-04-07,0.28971276948039415
2021-04-08,0.27490784128503865
2021-04-09,0.25989871103951245
2021-04-12,0.25298437738326846
2021-04-13,0.2442564774985507
2021-04-14,0.23313594317479233
2021-04-15,0.22194072181553345
2021-04-16,0.21111293091613312
2021-04-19,0.2252561901480179
2021-04-20,0.2536659433191614
2021-04-21,0.24419993366092466
2021-04-22,0.2388824932890646
2021-04-23,0.2296188163021489
2021-04-26,0.21966562134298578
2021-04-27,0.20898293710252996
2021-04-28,0.1990976574447826
2021-04-29,0.1963204309286224
2021-04-30,0.21287454615336238
2021-05-03,0.2032317711382745
2021-05-04,0.21590696329669407
2021-05-05,0.21240898286089505
2021-05-06,0.20214121103822447
2021-05-07,0.1945105333908681
2021-05-10,0.2369553071783791
2021-05-11,0.23046270240540007
2021-05-12,0.28532611867825913
2021-05-13,0.27246321072761365
2021-05-14,0.26156131365322355
2021-05-17,0.2477662858421218
2021-05-18,0.24856630664673762
2021-05-19,0.24950292823932949
2021-05-20,0.2374723975539052
2021-05-21,0.22567532253217232
2021-05-24,0.2153741349373225
2021-05-25,0.2226172634815189
2021-05-26,0.2145117731034826
2021-05-27,0.2056316862742705
2021-05-28,0.19688249185745288
2021-06-01,0.18942039911266156
2021-06-02,0.1808132229677907
2021-06-03,0.18812966273291407
2021-06-04,0.1801248167244036
2021-06-07,0.17415188887864524
2021-06-08,0.16811973233383407
2021-06-09,0.17304138348961498
2021-06-10,0.1790640265379956
2021-06-11,0.17269582276360942
2021-06-14,0.17032163338812836
2021-06-15,0.1679574696165669
2021-06-16,0.16442833332488654
2021-06-17,0.17866404226928262
2021-06-18,0.21652037317536657
2021-06-21,0.20929808694777888
2021-06-22,0.19985236250792734
2021-06-23,0.1908667147514202
2021-06-24,0.18427425213523457
2021-06-25,0.17610031686513228
2021-06-28,0.18289837506112513
2021-06-29,0.18321878069673972
2021-06-30,0.17486236987985723
2021-07-01,0.16849075820352877
2021-07-02,0.17896006593650998
2021-07-06,0.1988646303393341
2021-07-07,0.20665201184600165
2021-07-08,0.21367376535269839
2021-07-09,0.20661133947583807
2021-07-12,0.1967514452297619
2021-07-13,0.22426741537726788
2021-07-14,0.24224519809482292
2021-07-15,0.2398870309124693
2021-07-16,0.2503586547335642
2021-07-19,0.2652509611669673
2021-07-20,0.2559629887307929
2021-07-21,0.24515837738082702
2021-07-22,0.2623192177481474
2021-07-23,0.24900328190608254
2021-07-26,0.23640329693132459
2021-07-27,0.24589643429704303
2021-07-28,0.23543870030222305
2021-07-29,0.224619798771168
2021-07-30,0.22533677995391696
2021-08-02,0.22297897927831675
2021-08-03,0.21248845615703457
2021-08-04,0.22542840814768667
2021-08-05,0.21700765792939197
2021-08-06,0.207270866259588
2021-08-09,0.20722326220769713
2021-08-10,0.19750682216065346
2021-08-11,0.18894739267849134
2021-08-12,0.18442776146773565
2021-08-13,0.19290303263557057
2021-08-16,0.20117611687275408
2021-08-17,0.21449156626776728
2021-08-18,0.22000922526112401
2021-08-19,0.2314238112208854
2021-08-20,0.22239029745022598
2021-08-23,0.2143609983182575
2021-08-24,0.2054173585654338
2021-08-25,0.19607857710622034
2021-08-26,0.20663859755621652
2021-08-27,0.20123128782572555
2021-08-30,0.19902049743682182
2021-08-31,0.18987404561972132
2021-09-01,0.18214197539282373
2021-09-02,0.17497423810378485
2021-09-03,0.17557693698205357
2021-09-07,0.18041201844666557
2021-09-08,0.1927949013848655
2021-09-09,0.1846333566829136
2021-09-10,0.19444976214950738
2021-09-13,0.18623132067404777
2021-09-14,0.20185103120866138
2021-09-15,0.1936641815101595
2021-09-16,0.18468930775765013
2021-09-17,0.17642578382991528
2021-09-20,0.21702600489342286
2021-09-21,0.206537352553963
2021-09-22,0.19907892404772537
2021-09-23,0.19249704725008124
2021-09-24,0.19220600823075223
2021-09-27,0.18569632629645638
2021-09-28,0.22291980800278832
2021-09-29,0.21554208962520524
2021-09-30,0.22220563179181574
2021-10-01,0.21372093486600696
2021-10-04,0.21996964790625093
2021-10-05,0.2095840881364804
2021-10-06,0.20880391375642365
2021-10-07,0.20116471758238322
2021-10-08,0.20536245323817107
2021-10-11,0.2058763939843517
2021-10-12,0.19682763830316108
2021-10-13,0.18828999973445218
2021-10-14,0.18198958431734494
2021-10-15,0.1793565800298389
2021-10-18,0.17226313476771515
2021-10-19,0.16523357285975512
2021-10-20,0.15914754286510366
2021-10-21,0.1527875242289108
2021-10-22,0.1506979330979692
2021-10-25,0.14602451479118156
2021-10-26,0.15421842146773518
2021-10-27,0.18471434378520799
2021-10-28,0.17949611472118274
2021-10-29,0.1718419692624593
2021-11-01,0.1684763995341781
2021-11-02,0.16143024251979554
2021-11-03,0.15743768367198496
2021-11-04,0.1514400511093416
2021-11-05,0.14740482827913068
2021-11-08,0.14188816821708566
2021-11-09,0.1469927055333019
2021-11-10,0.1722812735035355
2021-11-11,0.16595763555799414
2021-11-12,0.15889882818951181
2021-11-15,0.15936068900453462
2021-11-16,0.1528708019210994
2021-11-17,0.17190890029314948
2021-11-18,0.1720002011626731
2021-11-19,0.1814254160805481
2021-11-22,0.18089027834574198
2021-11-23,0.17575087709596218
2021-11-24,0.16805406630010475
2021-11-26,0.24557617392572922
2021-11-29,0.23386582306955414
2021-11-30,0.26128875750785757
2021-12-01,0.29066280257370397
2021-12-02,0.2789058421761724
2021-12-03,0.30255441890674806
2021-12-06,0.288608245204464
2021-12-07,0.27625812712027137
2021-12-08,0.2622284675621623
2021-12-09,0.2918216009825181
2021-12-10,0.28037063968967935
2021-12-13,0.29193560933877183
2021-12-14,0.29115950679996694
2021-12-15,0.2774347188078666
