,"iShares MSCI United Kingdom ETF - GARCH Volatility"
2020-05-19,0.3416345679230953
2020-05-20,0.33886809646232563
2020-05-21,0.3228841730404264
2020-05-22,0.307522406988499
2020-05-26,0.30754514595421595
2020-05-27,0.29789308149065835
2020-05-28,0.2849836732165546
2020-05-29,0.27631750433152075
2020-06-01,0.2947770445608002
2020-06-02,0.2853791057523308
2020-06-03,0.2993027637693979
2020-06-04,0.2855621445500086
2020-06-05,0.29206695944594624
2020-06-08,0.287087523239865
2020-06-09,0.30698256953775077
2020-06-10,0.29095595542968355
2020-06-11,0.4342966534524529
2020-06-12,0.4240196349227239
2020-06-15,0.40281059320727897
2020-06-16,0.38650622452943756
2020-06-17,0.36636957570191336
2020-06-18,0.3514654042718856
2020-06-19,0.3331514628513583
2020-06-22,0.3221198168383932
2020-06-23,0.30725560043716044
2020-06-24,0.3400520048463176
2020-06-25,0.3340133015315408
2020-06-26,0.3295499276285765
2020-06-29,0.31682153335908214
2020-06-30,0.3001886646760667
2020-07-01,0.2866042490962058
2020-07-02,0.27443025343427424
2020-07-06,0.26527000885889834
2020-07-07,0.2676340337102141
2020-07-08,0.2615383826515718
2020-07-09,0.2665453252263112
2020-07-10,0.259345542471815
2020-07-13,0.2527543210313129
2020-07-14,0.25362968043980977
2020-07-15,0.2563868171337988
2020-07-16,0.246506982456887
2020-07-17,0.23600065508383658
2020-07-20,0.22426966268311904
2020-07-21,0.2136316577663526
2020-07-22,0.2042971453545056
2020-07-23,0.198447349188645
2020-07-24,0.18997382451274702
2020-07-27,0.18619918044932424
2020-07-28,0.17760240201078364
2020-07-29,0.18230356990470595
2020-07-30,0.1877824784158522
2020-07-31,0.20609605236394024
2020-08-03,0.2154124508936287
2020-08-04,0.20597135723201906
2020-08-05,0.19960746579223937
2020-08-06,0.1901688523391778
2020-08-07,0.18438396351093012
2020-08-10,0.17811940601742418
2020-08-11,0.17291930256625487
2020-08-12,0.19623453824441814
2020-08-13,0.19376447971700078
2020-08-14,0.1938041423705902
2020-08-17,0.18835081842137025
2020-08-18,0.1796109896415027
2020-08-19,0.17495385791688048
2020-08-20,0.16734050555678384
2020-08-21,0.16769589977098429
2020-08-24,0.17821021182861546
2020-08-25,0.17207388064433254
2020-08-26,0.16672851345825646
2020-08-27,0.1649778421485746
2020-08-28,0.16247657677339217
2020-08-31,0.16384445550582416
2020-09-01,0.16154969637854477
2020-09-02,0.17153417618655475
2020-09-03,0.217101408562911
2020-09-04,0.2072225933627895
2020-09-08,0.20588435006090192
2020-09-09,0.21938828318759412
2020-09-10,0.24159890148756888
2020-09-11,0.2348704119296426
2020-09-14,0.2241405184253842
2020-09-15,0.2205079427140891
2020-09-16,0.2111257028407484
2020-09-17,0.20177948260415376
2020-09-18,0.20142723847583274
2020-09-21,0.2588451807548288
2020-09-22,0.24617763830210088
2020-09-23,0.236747037151471
2020-09-24,0.22501475151642836
2020-09-25,0.21594991085897675
2020-09-28,0.22569391396313726
2020-09-29,0.21679237163701126
2020-09-30,0.206453086196356
2020-10-01,0.1967784683343175
2020-10-02,0.1914415628853881
2020-10-05,0.19307519882159907
2020-10-06,0.19860303623056724
2020-10-07,0.19201987397141995
2020-10-08,0.1906481471192416
2020-10-09,0.1872881811540707
2020-10-12,0.17940708347219736
2020-10-13,0.1928576314279526
2020-10-14,0.18526380434396786
2020-10-15,0.19689311516657967
2020-10-16,0.19376617042198052
2020-10-19,0.19093542363846475
2020-10-20,0.1843201953123965
2020-10-21,0.1773668503413194
2020-10-22,0.169747635035072
2020-10-23,0.169811829976595
2020-10-26,0.17902264661209766
2020-10-27,0.17779512591744467
2020-10-28,0.25853886516344116
2020-10-29,0.2502631143416864
2020-10-30,0.23794240479578246
2020-11-02,0.23304675067462324
2020-11-03,0.2603967096566314
2020-11-04,0.2511731434688032
2020-11-05,0.2563719259201366
2020-11-06,0.24372379612996348
2020-11-09,0.32497064052003216
2020-11-10,0.3394519182446904
2020-11-11,0.32662612938955143
2020-11-12,0.3257874859475115
