,"美国iShares安硕MSCI英国指数ETF - GJR-GARCH模型波动率预测"
1998-02-24,0.21026635108832797
1998-02-25,0.2089559245391238
1998-02-26,0.20046386108224096
1998-02-27,0.19920590955089662
1998-03-02,0.19411297329132848
1998-03-03,0.19128946651606302
1998-03-04,0.20510496922307855
1998-03-05,0.2272012561584993
1998-03-06,0.22936922548589647
1998-03-09,0.2196239741011896
1998-03-10,0.21458923458552157
1998-03-11,0.21245667040599128
1998-03-12,0.20484568533410705
1998-03-13,0.19580457400173268
1998-03-16,0.1907989716953422
1998-03-17,0.18279962800837424
1998-03-18,0.19650531290527493
1998-03-19,0.1887300071530757
1998-03-20,0.18437788153680473
1998-03-23,0.17736670826285297
1998-03-24,0.17544089261058837
1998-03-25,0.18247082177707205
1998-03-26,0.1780482990651694
1998-03-27,0.17420267162130437
1998-03-30,0.167029094471592
1998-03-31,0.16052809099967522
1998-04-01,0.15804855671596627
1998-04-02,0.1560931487285717
1998-04-03,0.15007349519485444
1998-04-06,0.14554179605872672
1998-04-07,0.17607470005653852
1998-04-08,0.17236894151789642
1998-04-09,0.16531019206328446
1998-04-13,0.16082991885840148
1998-04-14,0.16569070342056008
1998-04-15,0.16733809608095823
1998-04-16,0.20134483852336515
1998-04-17,0.19910689691720876
1998-04-20,0.2506557647451979
1998-04-21,0.2416155897288087
1998-04-22,0.23042524861655242
1998-04-23,0.23144782046932308
1998-04-24,0.22694306598792569
1998-04-27,0.2526197878235195
1998-04-28,0.24926915332627902
1998-04-29,0.2417780833739899
1998-04-30,0.23471746931151077
1998-05-01,0.22665406415945863
1998-05-04,0.2190584880802385
1998-05-05,0.2854599362432494
1998-05-06,0.2719676635190294
1998-05-07,0.25982142174963174
1998-05-08,0.24778988114933184
1998-05-11,0.24247727481147588
1998-05-12,0.2313970769046143
1998-05-13,0.2214764664699164
1998-05-14,0.21145345019649125
1998-05-15,0.2211100703269754
1998-05-18,0.28186533167454275
1998-05-19,0.2807611703922036
1998-05-20,0.2680163733804336
1998-05-21,0.2554713901790179
1998-05-22,0.24499437136391525
1998-05-26,0.23993330073168254
1998-05-27,0.22883966177216747
1998-05-28,0.2253597603832592
1998-05-29,0.22151816358935444
1998-06-01,0.21149271476814516
1998-06-02,0.2037502206133775
1998-06-03,0.19503834084610133
1998-06-04,0.19045241925478398
1998-06-05,0.19931309139140863
1998-06-08,0.19149091884473268
1998-06-09,0.1832529563199459
1998-06-10,0.2270797718864452
1998-06-11,0.22379441816095413
1998-06-12,0.35436083305015526
1998-06-15,0.3403487452599172
1998-06-16,0.3320566096315507
1998-06-17,0.32824014379719
1998-06-18,0.31267969425595904
1998-06-19,0.2979801161151529
1998-06-22,0.2889460025679539
1998-06-23,0.2752161281611236
1998-06-24,0.262117593457593
1998-06-25,0.24990176469965153
1998-06-26,0.238849947037884
1998-06-29,0.22781871213752397
1998-06-30,0.22033908414078518
1998-07-01,0.21332202417940818
1998-07-02,0.20677367627432655
1998-07-06,0.20990589891663358
1998-07-07,0.20341476937528405
1998-07-08,0.19464548389315384
1998-07-09,0.20630704883740641
1998-07-10,0.2102158890283986
1998-07-13,0.20251840805220644
1998-07-14,0.20346196401293293
1998-07-15,0.20656169247951084
1998-07-16,0.2043243421621614
1998-07-17,0.19531425754409226
1998-07-20,0.18865935969360226
1998-07-21,0.1881182766240431
1998-07-22,0.18711809746788258
1998-07-23,0.18698991095778403
1998-07-24,0.1871271204288678
1998-07-27,0.19310521587984097
1998-07-28,0.22548256251870122
1998-07-29,0.21829555194735417
1998-07-30,0.21551180663713068
1998-07-31,0.26271058752931903
1998-08-03,0.25328397896432375
1998-08-04,0.3056079017303054
1998-08-05,0.2932525212167834
1998-08-06,0.2791451299951336
1998-08-07,0.26643998348596254
1998-08-10,0.2707265491229111
1998-08-11,0.3359823370357436
1998-08-12,0.3209040697778699
1998-08-13,0.32818958484388255
1998-08-14,0.3128305694781122
1998-08-17,0.29778228489955544
1998-08-18,0.2997440868474306
1998-08-19,0.2973697456030119
1998-08-20,0.2927948729059305
1998-08-21,0.31805653082431745
1998-08-24,0.3031391799157608
1998-08-25,0.30093269014847823
1998-08-26,0.30300851275170476
1998-08-27,0.4005783833408888
1998-08-28,0.38183078870096376
1998-08-31,0.5233717149407293
1998-09-01,0.5238399984728161
1998-09-02,0.49766192259404374
1998-09-03,0.507777096765894
1998-09-04,0.482064790251269
1998-09-08,0.4924240867382504
1998-09-09,0.4779439452488126
1998-09-10,0.48237159991027667
1998-09-11,0.4584472671965665
1998-09-14,0.4395366865234346
1998-09-15,0.42041169821973323
1998-09-16,0.3995199559471341
1998-09-17,0.4126551984405383
1998-09-18,0.39202858110091926
1998-09-21,0.3815557757392751
1998-09-22,0.36274292549958853
1998-09-23,0.3565254728627395
1998-09-24,0.37607700860329124
1998-09-25,0.3669729935567466
1998-09-28,0.34895837000994834
1998-09-29,0.33198078619100835
1998-09-30,0.31658214668550094
1998-10-01,0.4090015735911049
1998-10-02,0.394258128134348
1998-10-05,0.42527557700860275
1998-10-06,0.41610388895082445
1998-10-07,0.39586506337387245
1998-10-08,0.3821885932363759
1998-10-09,0.3692861622102837
1998-10-12,0.36130648430383866
1998-10-13,0.3436072339168662
1998-10-14,0.327446540980356
