,"iShares安硕罗素2000 ETF - 广义自回归条件异方差（GARCH）模型波动率预测"
2001-01-10,0.3766192783169763
2001-01-11,0.36279860198187097
2001-01-12,0.3444947796411435
2001-01-16,0.3400763849490288
2001-01-17,0.3228799975222993
2001-01-18,0.3072019570250164
2001-01-19,0.3037422295302384
2001-01-22,0.2906197969856837
2001-01-23,0.2999798573237877
2001-01-24,0.2857974023674813
2001-01-25,0.2724222810270849
2001-01-26,0.2593164877133732
2001-01-29,0.2652410805286391
2001-01-30,0.2540870079323223
2001-01-31,0.25061946851751166
2001-02-01,0.24108198605453704
2001-02-02,0.2525567849019305
2001-02-05,0.24088377031257213
2001-02-06,0.24207874999677273
2001-02-07,0.23106675399113566
2001-02-08,0.23169957703888888
2001-02-09,0.2293341204443857
2001-02-12,0.2422799925705794
2001-02-13,0.23531225892417934
2001-02-14,0.2298754810761687
2001-02-15,0.2206788988553278
2001-02-16,0.23449340289227757
2001-02-20,0.23038565580348094
2001-02-21,0.2349721038761836
2001-02-22,0.23385671767131258
2001-02-23,0.22340441445951778
2001-02-26,0.23680605228752072
2001-02-27,0.24153453666090902
2001-02-28,0.24056631684423324
2001-03-01,0.23172214395693821
2001-03-02,0.22153272444494515
2001-03-05,0.212361877934812
2001-03-06,0.21446283873902258
2001-03-07,0.2065083727116167
2001-03-08,0.20145263363877874
2001-03-09,0.21040526894543302
