,"iShares MSCI Hong Kong ETF - GJR-GARCH Volatility"
2004-12-17,0.15805569170390543
2004-12-20,0.1599569954706577
2004-12-21,0.1550630671694585
2004-12-22,0.15464924868876667
2004-12-23,0.152202956870095
2004-12-27,0.15223622420435948
2004-12-28,0.15490270430176487
2004-12-29,0.15053080242927025
2004-12-30,0.14807367044819278
2004-12-31,0.1440763460114116
2005-01-03,0.1462106550152895
2005-01-04,0.1973046791132942
2005-01-05,0.22803347912093958
2005-01-06,0.22113548426247653
2005-01-07,0.2203777375326283
2005-01-10,0.21327972899457653
2005-01-11,0.21480608371272916
2005-01-12,0.20877651592073282
2005-01-13,0.2011640285935833
2005-01-14,0.19426966927443926
2005-01-18,0.18881817920952423
2005-01-19,0.18982991123634865
2005-01-20,0.19222547697950965
2005-01-21,0.19197196670347472
2005-01-24,0.18739121964489158
2005-01-25,0.18904572780150308
2005-01-26,0.18802394634726718
2005-01-27,0.18913921539437556
2005-01-28,0.18246253533259918
2005-01-31,0.17864492939907362
2005-02-01,0.17252917318529062
2005-02-02,0.16746823340562234
2005-02-03,0.16556860571980425
2005-02-04,0.16913064536032493
2005-02-07,0.16358670728393548
2005-02-08,0.15984565305318754
2005-02-09,0.15517502363460428
2005-02-10,0.15080801689565446
2005-02-11,0.14876458610838802
2005-02-14,0.14456335676788915
2005-02-15,0.1406721375397417
2005-02-16,0.1382805044827361
2005-02-17,0.15286032565711746
2005-02-18,0.15294905034030123
2005-02-22,0.14847740434153608
2005-02-23,0.1442954693675446
2005-02-24,0.1457292791445837
2005-02-25,0.14923288726014786
2005-02-28,0.15529343914022897
2005-03-01,0.15280496510257774
2005-03-02,0.19194597364883692
2005-03-03,0.1853596072503392
2005-03-04,0.17946136408709257
2005-03-07,0.17386086851272772
2005-03-08,0.16837166388677166
2005-03-09,0.16289202190408222
2005-03-10,0.15802260496523907
2005-03-11,0.15319275152565148
2005-03-14,0.1493809409529877
2005-03-15,0.16618630990547928
2005-03-16,0.16091388131544154
2005-03-17,0.15863519697721562
2005-03-18,0.15485009189535537
2005-03-21,0.15028401711426267
2005-03-22,0.16475399115044223
2005-03-23,0.16398873741815323
2005-03-24,0.15875984126976192
2005-03-28,0.15387594548856556
2005-03-29,0.16408183446073488
2005-03-30,0.1678540616130572
2005-03-31,0.16703377143559922
2005-04-01,0.16515707069332514
2005-04-04,0.1655868690446196
2005-04-05,0.16134412787579228
2005-04-06,0.15747772642504082
2005-04-07,0.15452965462978294
2005-04-08,0.1525059765386262
2005-04-11,0.1480182306339324
2005-04-12,0.14499284851329738
2005-04-13,0.14130027770673348
2005-04-14,0.1378028165169348
2005-04-15,0.15049546690847534
2005-04-18,0.14887023423102416
2005-04-19,0.14812769450713797
2005-04-20,0.17067761188861297
2005-04-21,0.18974672487292107
2005-04-22,0.18793674254918863
2005-04-25,0.1840141016335433
2005-04-26,0.1785765012536644
2005-04-27,0.17263620361905552
2005-04-28,0.16930056585847553
2005-04-29,0.17185318734315055
2005-05-02,0.16711431536526128
2005-05-03,0.17790883283299905
2005-05-04,0.18013195163546084
2005-05-05,0.1739507826944162
2005-05-06,0.1687269024192645
2005-05-09,0.16394132364965217
2005-05-10,0.1749739500611448
2005-05-11,0.16924719554545062
2005-05-12,0.17152947501814375
2005-05-13,0.1660622244822705
2005-05-16,0.1627527290093779
2005-05-17,0.16010234101973653
2005-05-18,0.15514085960829277
2005-05-19,0.15624123386609567
2005-05-20,0.15149581895220737
2005-05-23,0.14714712351928597
2005-05-24,0.14307831408008692
2005-05-25,0.14681516093374009
2005-05-26,0.14306972761559308
2005-05-27,0.14202663229127135
2005-05-31,0.13978041880034556
2005-06-01,0.1384772183429462
2005-06-02,0.14246344457438898
2005-06-03,0.14782202447538054
2005-06-06,0.1447578259024361
2005-06-07,0.140849356548051
2005-06-08,0.13713228328880112
2005-06-09,0.13517699464036032
2005-06-10,0.13312969360739926
2005-06-13,0.13015558274618882
2005-06-14,0.127363710216058
2005-06-15,0.1286496894671728
2005-06-16,0.12647653885207327
2005-06-17,0.13926048082639958
2005-06-20,0.14170896739444544
2005-06-21,0.1379974721507608
2005-06-22,0.14042372876405185
2005-06-23,0.1403302903866446
2005-06-24,0.1370006173708717
2005-06-27,0.13505584045127406
2005-06-28,0.13317573022138832
2005-06-29,0.13026543194570078
2005-06-30,0.12853180337955272
2005-07-01,0.1259026824178103
2005-07-05,0.12442134045251241
2005-07-06,0.13525167340924102
2005-07-07,0.1319815978081793
2005-07-08,0.13002576729248708
2005-07-11,0.12995781992631303
2005-07-12,0.12771896444929393
2005-07-13,0.13031536179591416
2005-07-14,0.13178732093794154
2005-07-15,0.12903154079526447
2005-07-18,0.12887141172502148
2005-07-19,0.1260395637885184
2005-07-20,0.12411612675232819
2005-07-21,0.12970251084693774
