,"iShares Russell 2000 ETF - GJR-GARCH Volatility"
2014-05-05,0.17765794325050596
2014-05-06,0.1980027181631606
2014-05-07,0.19072849603559505
2014-05-08,0.1937341745794995
2014-05-09,0.18746563845142397
2014-05-12,0.18538176609364793
2014-05-13,0.1884177698626114
2014-05-14,0.2067107196059266
2014-05-15,0.20298468218070054
2014-05-16,0.19571227452564136
2014-05-19,0.18957499202162717
2014-05-20,0.2048807428725306
2014-05-21,0.19736821020620315
2014-05-22,0.19104678379915221
2014-05-23,0.18527359768731216
2014-05-27,0.18069834531616497
2014-05-28,0.17737018915251798
2014-05-29,0.17159784963687627
2014-05-30,0.1683205442006412
2014-06-02,0.1662945435063941
2014-06-03,0.16184798423211827
2014-06-04,0.15723450422855664
2014-06-05,0.15733575435990385
2014-06-06,0.15386026387602486
2014-06-09,0.15051467184298015
2014-06-10,0.14706398036228993
2014-06-11,0.14639433800526577
2014-06-12,0.1474656681400793
2014-06-13,0.14380739369031065
2014-06-16,0.14067119705184852
2014-06-17,0.138097352183161
2014-06-18,0.13569171455914322
2014-06-19,0.13294409877839633
2014-06-20,0.13055057640623421
2014-06-23,0.1287519377718254
2014-06-24,0.14204668063703565
2014-06-25,0.139612131707814
2014-06-26,0.13691879447322053
2014-06-27,0.1346060826263063
2014-06-30,0.1321325797825805
2014-07-01,0.13016727653292898
2014-07-02,0.12786957965051735
2014-07-03,0.1262364381626795
2014-07-07,0.16183015540992352
2014-07-08,0.17337978774932214
2014-07-09,0.16779610126579222
2014-07-10,0.17484125600097936
2014-07-11,0.1693211055952565
2014-07-14,0.1642682537802116
2014-07-15,0.1700622180262271
2014-07-16,0.1654967504212696
2014-07-17,0.1855951982137469
2014-07-18,0.1813025173570406
2014-07-21,0.17682121139727552
2014-07-22,0.17165203057348316
2014-07-23,0.16618759881531475
2014-07-24,0.16153160062353122
2014-07-25,0.16606298323226643
2014-07-28,0.16378984583911177
2014-07-29,0.15895210599422707
2014-07-30,0.15455748911003958
2014-07-31,0.2046283792634834
2014-08-01,0.19883972842467873
2014-08-04,0.19216660583982847
2014-08-05,0.18589319836938628
2014-08-06,0.1795172426258826
2014-08-07,0.17591891541275487
2014-08-08,0.17103307048638286
2014-08-11,0.16648105838202734
2014-08-12,0.16661783938102187
2014-08-13,0.162109507432476
2014-08-14,0.15734089563746612
2014-08-15,0.15334184634339057
2014-08-18,0.15146040908435446
2014-08-19,0.14759507552760695
2014-08-20,0.14614437847553358
2014-08-21,0.14260844505147652
2014-08-22,0.13929615170563758
2014-08-25,0.13650830743951078
2014-08-26,0.13467550200389083
2014-08-27,0.13284386308746068
2014-08-28,0.13395386265427361
2014-08-29,0.13172741810268657
2014-09-02,0.12967538501967135
2014-09-03,0.13297380794727962
2014-09-04,0.13249631149582997
2014-09-05,0.13013002313071337
2014-09-08,0.12786608150717688
2014-09-09,0.1446996615061694
2014-09-10,0.14162154624208845
2014-09-11,0.1388764424947586
2014-09-12,0.1502762112910756
2014-09-15,0.16053798055288973
2014-09-16,0.15594295149188372
2014-09-17,0.15168027056937894
2014-09-18,0.14807178988585235
2014-09-19,0.1633305580716603
2014-09-22,0.17977836354800875
2014-09-23,0.1826599956202781
2014-09-24,0.17715979227804485
2014-09-25,0.1994910945380771
2014-09-26,0.19279294074213404
2014-09-29,0.1859264080220989
2014-09-30,0.20146676847559747
2014-10-01,0.21207077026313645
2014-10-02,0.20459752784430216
2014-10-03,0.19735135570854337
2014-10-06,0.1970197827630515
2014-10-07,0.21440572473700417
2014-10-08,0.2088925398380708
2014-10-09,0.2595392710169311
2014-10-10,0.2590667643677977
2014-10-13,0.24912894492611654
2014-10-14,0.23954274691586885
2014-10-15,0.2303286061261171
2014-10-16,0.2218998422712373
2014-10-17,0.21382620325862778
2014-10-20,0.2065918846421611
2014-10-21,0.20092568476926986
2014-10-22,0.21192795002075587
2014-10-23,0.20619421427382484
2014-10-24,0.19840340722880745
2014-10-27,0.19112656958152105
2014-10-28,0.19114370928701785
2014-10-29,0.18487403062626187
2014-10-30,0.17913346421034793
2014-10-31,0.17512618650561657
2014-11-03,0.16971623375505362
2014-11-04,0.1667366750298206
2014-11-05,0.1616424832771385
2014-11-06,0.15707665504459917
2014-11-07,0.15268115365034415
2014-11-10,0.1488595356703762
2014-11-11,0.14506498433460777
2014-11-12,0.14179282464215176
2014-11-13,0.14767797940112806
2014-11-14,0.14437373999450176
2014-11-17,0.1495868698783419
2014-11-18,0.14610329934672933
2014-11-19,0.15637066310532804
2014-11-20,0.15332743316184486
2014-11-21,0.14920318964418958
2014-11-24,0.1469407251921672
2014-11-25,0.14329591243297907
2014-11-26,0.14005580887631902
2014-11-28,0.16382722850613082
2014-12-01,0.18486612453340392
2014-12-02,0.17976707929985403
2014-12-03,0.1745806896538102
2014-12-04,0.17132102497942278
2014-12-05,0.16641853142003146
2014-12-08,0.1781003761927526
2014-12-09,0.1747700409109067
2014-12-10,0.21264855795419824
2014-12-11,0.20454240244995656
2014-12-12,0.21006970843032083
2014-12-15,0.21104422380155302
2014-12-16,0.20309129671160212
2014-12-17,0.20303253532377516
2014-12-18,0.19723569758033155
2014-12-19,0.19005299997632238
2014-12-22,0.18371469946631921
2014-12-23,0.17741209654361229
2014-12-24,0.17160842287020764
2014-12-26,0.16654560456523612
2014-12-29,0.16161169017122493
2014-12-30,0.16078494332492707
2014-12-31,0.16019934831328123
2015-01-02,0.15937325999050153
2015-01-05,0.17465025050082236
2015-01-06,0.19883827096411796
2015-01-07,0.1927763398345347
2015-01-08,0.18830799983006563
2015-01-09,0.19069447081653942
2015-01-12,0.18498897156317184
2015-01-13,0.17859025953282
2015-01-14,0.17430187950793877
2015-01-15,0.19719167730916026
2015-01-16,0.19219132342538256
2015-01-20,0.18701073124288886
2015-01-21,0.18148464728455682
2015-01-22,0.1790595230642593
2015-01-23,0.17311076223042865
2015-01-26,0.16842336654989415
2015-01-27,0.16568659692322732
2015-01-28,0.19033349573840125
2015-01-29,0.1852241496133806
2015-01-30,0.22314877638024372
2015-02-02,0.21488091771955925
2015-02-03,0.20897473722916846
2015-02-04,0.20221126081403082
2015-02-05,0.1960293478028226
2015-02-06,0.18899526660739419
2015-02-09,0.18848416272992274
2015-02-10,0.18220629846413103
2015-02-11,0.17620053007865782
2015-02-12,0.17162354733543997
2015-02-13,0.16649339446356423
2015-02-17,0.16148229500474656
2015-02-18,0.15674806104063935
2015-02-19,0.1523516391772665
2015-02-20,0.1483656422491407
2015-02-23,0.1446148150086982
2015-02-24,0.14116419843572237
2015-02-25,0.13798185793791878
2015-02-26,0.13519997855029417
2015-02-27,0.13646779004585663
2015-03-02,0.13428481626751404
2015-03-03,0.13638274656275257
2015-03-04,0.13485886355742438
2015-03-05,0.13227713135686
2015-03-06,0.1506197114590252
2015-03-09,0.14689681521394535
2015-03-10,0.1592228174603125
2015-03-11,0.15503903753571227
2015-03-12,0.15367019685026762
2015-03-13,0.15104528751338125
2015-03-16,0.14745750804892913
2015-03-17,0.14384699120940975
2015-03-18,0.1411720528999986
2015-03-19,0.13801727500570354
2015-03-20,0.1359969376125801
2015-03-23,0.13331844193509013
2015-03-24,0.1307657514795063
2015-03-25,0.1935234032358877
2015-03-26,0.1866871822059565
2015-03-27,0.18053175454750334
2015-03-30,0.1761210651796088
2015-03-31,0.17141719633689032
2015-04-01,0.1659574837119435
2015-04-02,0.16092092840895494
2015-04-06,0.1564173106788376
2015-04-07,0.15684415449738637
2015-04-08,0.15322193902963113
2015-04-09,0.15064449621542766
2015-04-10,0.14696272670306576
2015-04-13,0.1433140863976741
2015-04-14,0.13995315816372275
2015-04-15,0.1374297138176457
2015-04-16,0.134572333263565
2015-04-17,0.16441729835999616
2015-04-20,0.16042539200513115
2015-04-21,0.15588072401679434
2015-04-22,0.15157361340286113
2015-04-23,0.14779191547577966
2015-04-24,0.14545318752093403
2015-04-27,0.15681616345262372
2015-04-28,0.1527401558202688
2015-04-29,0.16247502577319384
2015-04-30,0.20340516807593656
2015-05-01,0.1961229114611549
2015-05-04,0.1890820488571033
2015-05-05,0.19802371676140207
2015-05-06,0.19084770158427375
2015-05-07,0.18417391672003938
2015-05-08,0.1783318502119013
2015-05-11,0.17238882330360053
2015-05-12,0.16720627500186708
2015-05-13,0.16204552693610524
2015-05-14,0.15841844210823436
2015-05-15,0.15404828061357909
2015-05-18,0.15122576447153444
2015-05-19,0.14747105953372683
2015-05-20,0.14381648806725883
2015-05-21,0.1405675794769192
2015-05-22,0.13985840539631503
2015-05-26,0.14846083847264235
2015-05-27,0.14635083231741458
2015-05-28,0.1428423290204973
2015-05-29,0.14414209614127305
2015-06-01,0.14082298207323973
2015-06-02,0.13769651891024698
2015-06-03,0.13595760236191282
2015-06-04,0.1462760745986848
2015-06-05,0.14326726199659154
2015-06-08,0.1426471652715188
2015-06-09,0.14053390793683923
2015-06-10,0.13919247910717014
2015-06-11,0.13622937172284105
2015-06-12,0.13465467433401634
2015-06-15,0.13335936817486801
2015-06-16,0.1314147909483556
2015-06-17,0.12932921711662837
2015-06-18,0.12935090227748705
2015-06-19,0.1271538071785505
2015-06-22,0.12572418812623132
2015-06-23,0.12386307924478546
2015-06-24,0.13230409517471484
2015-06-25,0.1298697650725526
2015-06-26,0.12865415547117007
2015-06-29,0.19901682541935994
2015-06-30,0.19185628371257482
2015-07-01,0.18506503721664988
2015-07-02,0.18408529979332952
2015-07-06,0.17775330882996243
2015-07-07,0.17185956592520538
2015-07-08,0.1902856274131076
2015-07-09,0.183637251122968
2015-07-10,0.1790647301955357
2015-07-13,0.17424729323579174
2015-07-14,0.16888484479076268
2015-07-15,0.16669215938369747
2015-07-16,0.16192511602589638
2015-07-17,0.1593201230227996
2015-07-20,0.1581306653372457
2015-07-21,0.1562345079679902
2015-07-22,0.1520224962299988
2015-07-23,0.16233902303512857
2015-07-24,0.18527618195547962
2015-07-27,0.1857364907604319
2015-07-28,0.17993773923221335
2015-07-29,0.17395353517534504
2015-07-30,0.16839239175212165
2015-07-31,0.16344461447230374
2015-08-03,0.16134881344466095
2015-08-04,0.15726197213566923
2015-08-05,0.15286852704203047
2015-08-06,0.16872077880332345
2015-08-07,0.1683832628262085
2015-08-10,0.1644396740449214
2015-08-11,0.1676680219958475
2015-08-12,0.16287771118234684
2015-08-13,0.1593008248566215
2015-08-14,0.15514844504538228
2015-08-17,0.15205519813541396
2015-08-18,0.15563112812030888
2015-08-19,0.16374406737344713
2015-08-20,0.22115479917921746
2015-08-21,0.2237962198072166
2015-08-24,0.32152858535439743
2015-08-25,0.3102488491517737
2015-08-26,0.2995819527274632
2015-08-27,0.28786357393737755
2015-08-28,0.2756174827546322
2015-08-31,0.26443056479915483
2015-09-01,0.30737113982936004
2015-09-02,0.29517382810811665
2015-09-03,0.2820892901192812
2015-09-04,0.2734398149502007
2015-09-08,0.2646347120088368
2015-09-09,0.2625962223642983
2015-09-10,0.25140960840827065
2015-09-11,0.2409123807528372
2015-09-14,0.2325619736758355
2015-09-15,0.22398458071929864
2015-09-16,0.21558937636163802
2015-09-17,0.20726120042111112
2015-09-18,0.21616335489624508
2015-09-21,0.20799276718193835
2015-09-22,0.22009116383898739
2015-09-23,0.2121495981612975
2015-09-24,0.20419714591541188
2015-09-25,0.21193609508528746
2015-09-28,0.26647521235567107
2015-09-29,0.2583191700203452
