,"iShares MSCI Hong Kong ETF - GARCH Volatility"
2021-04-06,0.18244879281595697
2021-04-07,0.19088381178088412
2021-04-08,0.2084560442875188
2021-04-09,0.20047448316431696
2021-04-12,0.2029473104034641
2021-04-13,0.19806742488354817
2021-04-14,0.19854567534952758
2021-04-15,0.1908691572779636
2021-04-16,0.1836314874960174
2021-04-19,0.17700474908883096
2021-04-20,0.17060414180200906
2021-04-21,0.16543979206950185
2021-04-22,0.1607879995522054
2021-04-23,0.16678344522164065
2021-04-26,0.16109841340000838
2021-04-27,0.1558387508933513
2021-04-28,0.15076693815289877
2021-04-29,0.15782303672151288
2021-04-30,0.18270165516491635
2021-05-03,0.17674416426009656
2021-05-04,0.17033184200260387
2021-05-05,0.16460440941846
2021-05-06,0.16530531388917902
2021-05-07,0.16272524327835555
2021-05-10,0.15802296377425656
2021-05-11,0.1877971725026764
2021-05-12,0.1853686478345246
2021-05-13,0.1784736686461059
2021-05-14,0.1760387014267033
2021-05-17,0.16969165801535444
2021-05-18,0.16496684394144176
2021-05-19,0.15997038600941113
2021-05-20,0.15513984439852968
2021-05-21,0.1500646876516924
2021-05-24,0.14552425529787122
2021-05-25,0.16422506386054475
2021-05-26,0.16666456732011156
2021-05-27,0.1608814607094304
2021-05-28,0.15572454488615467
2021-06-01,0.15613874945060885
2021-06-02,0.15226246707577018
2021-06-03,0.1531615100474006
2021-06-04,0.14820992638821465
2021-06-07,0.14493412641610673
2021-06-08,0.14050786881879604
2021-06-09,0.13659653816989653
2021-06-10,0.1326944690633336
2021-06-11,0.12908392944127475
2021-06-14,0.12624408358414266
2021-06-15,0.14018159422691695
2021-06-16,0.13629985942766046
2021-06-17,0.13241221907361872
2021-06-18,0.1304394218018464
2021-06-21,0.12812743968408952
2021-06-22,0.12488594492576016
2021-06-23,0.12526165670307893
2021-06-24,0.12384933540394957
2021-06-25,0.12352317612496855
2021-06-28,0.12360481446934016
2021-06-29,0.12134264477091308
2021-06-30,0.11908967562303628
2021-07-01,0.11669807350594953
2021-07-02,0.11480460112730674
2021-07-06,0.11576730160109978
2021-07-07,0.12389867795904846
2021-07-08,0.13681425057354224
2021-07-09,0.13316396945119954
2021-07-12,0.13278786239713328
2021-07-13,0.1307754444840468
2021-07-14,0.13020244836407646
2021-07-15,0.12901608178827942
2021-07-16,0.12634746091631602
2021-07-19,0.15157385447365257
2021-07-20,0.14771676966411093
2021-07-21,0.15479792556749591
2021-07-22,0.15252306133827764
2021-07-23,0.15578197379671374
2021-07-26,0.16325038560444505
2021-07-27,0.21134980198713224
2021-07-28,0.207124067167483
2021-07-29,0.20031502989042035
2021-07-30,0.19579685186437498
2021-08-02,0.1882790248540713
2021-08-03,0.1822201975632778
2021-08-04,0.1767542870767213
2021-08-05,0.17165988465567605
2021-08-06,0.16577828446452206
2021-08-09,0.16099216502674907
2021-08-10,0.15615626788573042
2021-08-11,0.15135850858144712
2021-08-12,0.151228755598927
