,"美国iShares安硕MSCI德国指数ETF - GJR-GARCH模型波动率预测"
2020-09-28,0.2651270465267548
2020-09-29,0.2540814538686364
2020-09-30,0.24799974999987398
2020-10-01,0.23842681141180413
2020-10-02,0.23057781419729004
2020-10-05,0.22878415417156844
2020-10-06,0.2281608064501877
2020-10-07,0.22049417135153485
2020-10-08,0.21377675832512757
2020-10-09,0.20599038132883776
2020-10-12,0.19907132892508653
2020-10-13,0.2157398767034041
2020-10-14,0.20730496665540846
2020-10-15,0.2319730596427094
2020-10-16,0.22496188477162082
2020-10-19,0.21986032930021732
2020-10-20,0.21135325973355604
2020-10-21,0.21507292716657764
2020-10-22,0.20666755913785792
2020-10-23,0.20043538609736555
2020-10-26,0.32697205201668234
2020-10-27,0.3231441975341659
2020-10-28,0.41442752273467554
2020-10-29,0.3954720662701729
2020-10-30,0.3798492432531622
2020-11-02,0.3645445503638753
2020-11-03,0.359584199875356
2020-11-04,0.34536942829381995
2020-11-05,0.3377566330954878
2020-11-06,0.3226486987421459
2020-11-09,0.31790127901598636
2020-11-10,0.3050746302136577
2020-11-11,0.2923534894609606
2020-11-12,0.2934804122935635
2020-11-13,0.2839263904606263
2020-11-16,0.27199430141089354
2020-11-17,0.2603899352893656
2020-11-18,0.2500202735779641
2020-11-19,0.24009598830467785
2020-11-20,0.23046341314837804
2020-11-23,0.22120498728554924
2020-11-24,0.2155051414699891
2020-11-25,0.20714779071957296
2020-11-27,0.19968105468471464
2020-11-30,0.19481973206017916
2020-12-01,0.1956771197662108
2020-12-02,0.18915353763543521
2020-12-03,0.18252032544349686
2020-12-04,0.17634056141455376
2020-12-07,0.17075717495906287
2020-12-08,0.16559143456109077
2020-12-09,0.16071949477272507
2020-12-10,0.15581380580680262
2020-12-11,0.1629746900595304
2020-12-14,0.15876753950351438
2020-12-15,0.16117903089422023
2020-12-16,0.16162798396317388
2020-12-17,0.1604144744092627
2020-12-18,0.15586960935345928
2020-12-21,0.19155368124888647
2020-12-22,0.1854571950612863
2020-12-23,0.1838738839531052
2020-12-24,0.17744114179073578
2020-12-28,0.174189073136061
2020-12-29,0.16826064780571837
2020-12-30,0.1627387157378354
2020-12-31,0.17316869001063673
2021-01-04,0.1707749571804953
2021-01-05,0.16564506995380213
2021-01-06,0.16220352770516427
2021-01-07,0.15763856304851298
2021-01-08,0.15330175889401923
2021-01-11,0.17739668429821343
2021-01-12,0.17139477588304725
2021-01-13,0.16567169100362317
2021-01-14,0.1606146431680499
2021-01-15,0.20061967899485833
2021-01-19,0.1957768372407727
2021-01-20,0.18965911736586777
2021-01-21,0.18384523817602674
2021-01-22,0.1787875566139881
2021-01-25,0.18801543553655375
2021-01-26,0.18436687880419303
2021-01-27,0.23645184710634007
2021-01-28,0.22781876744465104
2021-01-29,0.23225289320049386
2021-02-01,0.22456812952865776
2021-02-02,0.21921223962178754
2021-02-03,0.21151046782606295
2021-02-04,0.2033203472355878
2021-02-05,0.1961581790290683
2021-02-08,0.1889409907881294
2021-02-09,0.182121982198745
2021-02-10,0.1785386075895071
2021-02-11,0.17464166513177776
2021-02-12,0.16875348529734133
2021-02-16,0.16318075254146858
2021-02-17,0.17903503344317837
2021-02-18,0.17296920882052966
2021-02-19,0.16733131924418693
2021-02-22,0.16206986271358412
2021-02-23,0.16399088877129728
2021-02-24,0.16155663774664292
2021-02-25,0.17717138482271902
2021-02-26,0.1763800703027414
2021-03-01,0.17496818910876344
2021-03-02,0.16924995007384788
2021-03-03,0.16523974945514774
2021-03-04,0.16970168178306305
2021-03-05,0.16429356408575474
2021-03-08,0.16141470936689753
