,"美国iShares安硕MSCI德国指数ETF - 广义自回归条件异方差（GARCH）模型波动率预测"
2004-07-02,0.19768148016443018
2004-07-06,0.21511147249740073
2004-07-07,0.21145488029364562
2004-07-08,0.2046282561133726
2004-07-09,0.19604946518672273
2004-07-12,0.18808699476572005
2004-07-13,0.1877382550254476
2004-07-14,0.18040964386639646
2004-07-15,0.1921947324980578
2004-07-16,0.19748379072723918
2004-07-19,0.1917760130986146
2004-07-20,0.1855566328644708
2004-07-21,0.20231940391371264
2004-07-22,0.20363460806061429
2004-07-23,0.23169196360685454
2004-07-26,0.23051638466712077
2004-07-27,0.23647065695345798
2004-07-28,0.22597555708527417
2004-07-29,0.21927166438005619
2004-07-30,0.20997251820178753
2004-08-02,0.20189971471005105
2004-08-03,0.19550299128146353
2004-08-04,0.19127075887338346
2004-08-05,0.18809838276816734
2004-08-06,0.18152824243075788
2004-08-09,0.1767589918504855
2004-08-10,0.1804309441309888
2004-08-11,0.1895870881679446
2004-08-12,0.18927240369372392
2004-08-13,0.1929744117752403
2004-08-16,0.19480576172177252
2004-08-17,0.18684133910888137
2004-08-18,0.18402813806589471
2004-08-19,0.17771573593804238
2004-08-20,0.17128836738085862
2004-08-23,0.16922150927113255
2004-08-24,0.16313928282299148
2004-08-25,0.1835996470584843
2004-08-26,0.17642378411087323
2004-08-27,0.17063072759617476
2004-08-30,0.17167052746467576
2004-08-31,0.1656517636489271
2004-09-01,0.16259696676137597
2004-09-02,0.16644548296664588
2004-09-03,0.17085462241332544
2004-09-07,0.17174574230530432
2004-09-08,0.16595497823204944
2004-09-09,0.1609367440953122
2004-09-10,0.1609742414176877
2004-09-13,0.15945988586475282
2004-09-14,0.1551834518239622
2004-09-15,0.15567089092055716
2004-09-16,0.15610773433754013
2004-09-17,0.150644354026296
2004-09-20,0.14558759466383117
2004-09-21,0.1774226073531781
2004-09-22,0.2082599308556497
2004-09-23,0.20276730801586337
2004-09-24,0.1943708218843559
2004-09-27,0.18801543553655375
2004-09-28,0.1855265490435264
2004-09-29,0.18447988182997083
2004-09-30,0.1771671888358564
2004-10-01,0.1950625007529638
2004-10-04,0.18820693611022946
2004-10-05,0.18063327600417375
2004-10-06,0.1739418730495909
2004-10-07,0.16792138160460687
2004-10-08,0.162596889269137
2004-10-11,0.15694649139117448
2004-10-12,0.17395621518071724
2004-10-13,0.17044076977061562
2004-10-14,0.16503259314450586
2004-10-15,0.16524996701966388
2004-10-18,0.16188620447709556
2004-10-19,0.15603021399716147
2004-10-20,0.15057213806013384
2004-10-21,0.15198928988583374
2004-10-22,0.15325195959595428
2004-10-25,0.14902103260949442
2004-10-26,0.1445348093713068
2004-10-27,0.165199330507118
2004-10-28,0.15923611148228908
2004-10-29,0.1567609781801581
2004-11-01,0.15514284127861008
2004-11-02,0.1499726603084709
2004-11-03,0.14956740259829346
2004-11-04,0.16465905501975894
2004-11-05,0.16100390430048583
2004-11-08,0.15764598034837426
2004-11-09,0.15210106508502827
2004-11-10,0.15065674070548585
2004-11-11,0.15372494254349228
2004-11-12,0.15388732696359372
2004-11-15,0.1510191251464529
2004-11-16,0.14957723342808557
2004-11-17,0.16734110792031945
2004-11-18,0.16130882554900708
2004-11-19,0.15836135664991002
2004-11-22,0.1546760515399847
2004-11-23,0.14991439277134133
2004-11-24,0.1526971543939179
2004-11-26,0.15500561576923594
2004-11-29,0.15148240293842713
2004-11-30,0.16284544942981982
2004-12-01,0.19364511767664064
2004-12-02,0.1857452416617987
2004-12-03,0.18432826153360207
2004-12-06,0.17700154575596228
2004-12-07,0.17577811809209926
2004-12-08,0.17061078863893692
2004-12-09,0.17391057702164067
2004-12-10,0.1707281734219634
2004-12-13,0.1947105944729254
2004-12-14,0.18701450425033883
2004-12-15,0.18357102712574225
2004-12-16,0.19044414929317208
2004-12-17,0.19314540532976704
2004-12-20,0.20316114293830898
2004-12-21,0.1957514781553386
2004-12-22,0.18943636292961288
2004-12-23,0.18548729013061785
2004-12-27,0.17954026289387012
2004-12-28,0.17568469256027971
2004-12-29,0.17214525959200852
2004-12-30,0.16890043694437268
2004-12-31,0.16305770266994443
2005-01-03,0.15847667576018876
2005-01-04,0.18006478834019712
2005-01-05,0.173029587065334
2005-01-06,0.16645222017143538
2005-01-07,0.1632893578896065
2005-01-10,0.15813649787446288
2005-01-11,0.15755743752676357
2005-01-12,0.15380871210695446
2005-01-13,0.1586062747812961
2005-01-14,0.15333915116499114
2005-01-18,0.14844352380619372
2005-01-19,0.15287906867848194
2005-01-20,0.15249573961262
2005-01-21,0.14923373157567293
2005-01-24,0.1443538751817907
2005-01-25,0.13994739611725543
2005-01-26,0.14139737027257612
2005-01-27,0.14268815325737452
2005-01-28,0.13884161667165937
2005-01-31,0.14212253712905637
2005-02-01,0.15165087774226696
2005-02-02,0.14735402797344904
2005-02-03,0.1486578712345902
2005-02-04,0.14982019583487402
2005-02-07,0.14764573315880145
2005-02-08,0.14285877907920116
2005-02-09,0.1408391669955485
2005-02-10,0.14137082174197052
2005-02-11,0.1466430208363153
2005-02-14,0.14526313627345377
2005-02-15,0.14291103624283186
2005-02-16,0.13858990872354307
2005-02-17,0.1379461486232943
2005-02-18,0.13498609395045105
2005-02-22,0.13303722215981512
2005-02-23,0.1292425765759875
2005-02-24,0.1266803830117355
2005-02-25,0.12921219478052373
2005-02-28,0.12570528533041084
2005-03-01,0.12289985142383207
2005-03-02,0.12118966738134072
2005-03-03,0.11831431629350693
2005-03-04,0.13738668931159234
2005-03-07,0.13333437546259405
2005-03-08,0.13012902581668703
2005-03-09,0.12817603972661976
2005-03-10,0.12481769297659687
2005-03-11,0.12164791884779616
2005-03-14,0.12001210888906169
2005-03-15,0.1266383231095548
2005-03-16,0.12839573404128346
2005-03-17,0.12495107394496456
2005-03-18,0.12396045304854288
2005-03-21,0.13832583793348227
2005-03-22,0.15069937956076662
2005-03-23,0.14648746936171708
2005-03-24,0.1428925817528678
2005-03-28,0.13875126291317136
2005-03-29,0.1349220641703943
